Name ,Data type ,PK ,FK ,UQ ,Not null ,Default value ,Description 
cabd_id ,uuid ,✓ ,,,✓ ,,Unique identifier for each barrier point. 
latitude ,float8 ,,,,✓ ,,Latitude of point location of dam in decimal degrees; the point location is only an approximation of the actual dam location (held in geometry). 
longitude ,float8 ,,,,✓ ,,Longitude of point location of dam in decimal degrees; the point location is only an approximation of the actual dam location (held in geometry). 
dam_name_en ,varchar(512) ,,,,,,Given or known name of the dam structure (English). 
dam_name_fr ,varchar(512) ,,,,,,Given or known name of the dam structure (French). 
waterbody_name_en ,varchar(512) ,,,,,,Name of waterbody in which the dam is recorded (English). 
waterbody_name_fr ,varchar(512) ,,,,,,Name of waterbody in which the dam is recorded (French). 
reservoir_name_en ,varchar(512) ,,,,,,"Name of the reservoir or controlled lake (i.e., impounded waterbody; English). "
reservoir_name_fr ,varchar(512) ,,,,,,"Name of the reservoir or controlled lake (i.e., impounded waterbody; French). "
nhn_sub_sub_drainage_name ,,,,,,,Name associated with NHN Work Unit polygons (WSCSSDANAME field value). 
nhn_workunit_id ,varchar(7) ,,✓ ,,,,Unique codes assigned to NHN Work Unit polygons. 
province_territory_code ,varchar(2) ,,✓ ,,✓ ,,Code referencing the Province or Territory in which the structure resides. 
municipality ,varchar(512) ,,,,,,Name of nearest municipality. 
owner ,varchar(512) ,,,,,,"Person, company, organization, government unit, public utility, corporation or other entity which either holds a water license to operate a dam or retains the legal property title on the dam site. "
ownership_type_code ,int2 ,,✓ ,,,,Code referencing barrier ownership type. 
provincial_compliance_status ,varchar(64) ,,,,,,The status of regulatory compliance with provincial licensing body. 
federal_compliance_status ,varchar(64) ,,,,,,The status of regulatory compliance with the federal licensing body. 
operating_notes ,text ,,,,,,Unstructured comments on important operation considerations for the dam structure. 
operating_status_code ,int2 ,,✓ ,,,,Code referencing the operating status of the dam. 
use_code ,int2 ,,✓ ,,,,Code referencing the primary use of the dam and associated facilities. 
use_irrigation_code ,int2 ,,,,,,"Indicates the dam is used for irrigation purposes, and the extent to which irrigation is a planned use (i.e., main use, major use, or secondary use). "
use_electricity_code ,int2 ,,,,,,"Indicates the dam is used for hydroelectric energy production, and the extent to which hydroelectric production is a planned use (i.e., main use, major use, or secondary use). "
