Nom,Organization
Axel Anderson,Watercourse Crossing Program - Alberta Environment and Parks
Amelia Atkin,Fisheries and Oceans Canada
Sean Butler,Fisheries and Oceans Canada
Steven Cooke,Carleton University
Natalie Deseta,Environment and Local Government - Government of New Brunswick
Neil Fisher,Fisheries and Oceans Canada
Richard Gervais,Fisheries and Oceans Canada
Scott Jackson,University of Massachusetts/North Atlantic Aquatic Connectivity Collaborative
Jennifer MacDonald,Fisheries and Oceans Canada
Margo Morrison,Nature Conservancy of Canada
Lauren Murdock,Nashwaak Watershed Association Inc.
Josh Noseworthy,Global Conservation Solutions Ltd.
Catherine Paquette,World Wildlife Fund - Canada
Mark Sondheim,Natural Resources Canada
Amy Weston,Nova Scotia Salmon Association
Lawrence Keyte,Fisheries and Oceans Canada
