Code,Nom,Description
1,Dam - Arch,"Une structure, généralement en béton, courbée de façon à former une arche horizontale au côté convexe dirigé vers l’amont."
2,Dam - Buttress,"Un barrage à contreforts est une structure en béton ou en maçonnerie constituée de panneaux inclinés ou d’une série d’arches soutenus par des contreforts du côté aval."
3,Dam - Embankment,"Une structure construite par l’accumulation et le compactage de plusieurs couches de terre et/ou de roches excavées. Cette catégorie comprend les chaussées."
4,Dam - Gravity,"Une structure, habituellement en béton et/ou en maçonnerie, qui repose sur le poids de ses matériaux pour résister aux forces externes."
5,Dam - Multiple Arch,"Un barrage à contreforts composé d’une série d’arches."
6,Dam - Other,"Le type de barrage est connu, mais il est différent de ceux définis dans ce tableau (par exemple, barrage poids-voûte, à palplanches ou à encoffrement en bois d’œuvre)."
7,Weir,"Un type de barrage de basse chute qui permet à l’eau de s’écouler au-dessus ou en dessous de la structure. Un déversoir peut permettre d’élever le niveau d’eau en amont, de réguler l’écoulement ou de détourner l’écoulement du système."
8,Spillway,"Une structure qui permet la libération d’urgence ou contrôlée du surplus d’eau en aval d’un barrage ou d’un autre obstacle."
9,Powerhouse,"Une installation hydroélectrique qui abrite des générateurs et des turbines utilisés pour la production d’hydroélectricité."
10,Lateral Barrier,"Une structure utilisée pour la régulation ou la retenue de l’eau. Certaines barrières latérales, comme les digues et les endiguements, sont parallèles à une étendue d’eau et servent à retenir les eaux de crue. On utilise d’autres barrières latérales, comme des canaux, pour acheminer l’eau dans un but précis, comme l’irrigation ou la navigation."
11,Lock,"Une structure, composée de vannes, que l’on utilise sur des étendues d’eau navigables pour réguler la profondeur de l’eau sur un tronçon d’une rivière ou d’un ruisseau afin que les navires puissent passer."
12,Aboiteau/ Tide Gate,"Une vanne utilisée dans les zones côtières (par exemple, les marais), généralement construite dans une digue ou un endiguement en terre, qui permet aux eaux de crue de s’écouler à marée basse, mais empêche le débordement de l’eau à marée haute."
13,Other,"Le type de structure est connu, mais il est différent de ceux définis dans ce tableau (par exemple, prise d’eau ou contrôle de lac)."
99,Unknown,"Le type de structure est inconnu."
